OrderID,OrderDate,CustomerName,Product,Quantity,Price,Discount,Total
O000147,2023-01-01,,,3,200,,600
O000148,2023-01-01,,,2,abc,,0
O000149,01/02/2023,Ram,,,200,,0
O000150,March 5 2023,,Shoes,1,500,,500
O000151,March 5 2023,,,,100,,0
O000152,,Ram,Phone,1,,0.2,0
,,,TV,,200,0.2,0
O000154,March 5 2023,John,Shoes,3,100,0.2,300
O000155,March 5 2023,Sita,Laptop,,200,0,0
O000156,,John,Laptop,3,abc,,0
,,,,,100,,0
O000158,March 5 2023,Ram,Laptop,,abc,,0
O000159,01/02/2023,,TV,1,100,0,100
O000160,,,Shoes,2,,,0
O000161,March 5 2023,John,TV,3,100,0.1,300
O000162,March 5 2023,,Shoes,3,500,,1500
O000163,March 5 2023,,Laptop,,200,0.2,0
,March 5 2023,,,,abc,,0
O000165,,Ram,Phone,,500,,0
O000166,March 5 2023,,Laptop,3,100,0.1,300
O000167,March 5 2023,,,,200,0.1,0
O000168,,,Shoes,3,,,0
O000169,,Ram,,,200,,0
O000170,March 5 2023,Sita,TV,,200,,0
O000171,01/02/2023,Sita,TV,2,abc,0.2,0
O000172,,Sita,Phone,,abc,0,0
O000173,01/02/2023,,Laptop,,200,0.1,0
O000174,March 5 2023,,Laptop,,200,0.1,0
O000175,,Ram,Laptop,,abc,,0
O000176,,,Phone,,200,0,0
O000177,2023-01-01,,TV,1,500,0,500
O000178,,,Shoes,,200,,0
O000179,,,Shoes,3,200,,600
O000180,,Ram,,,abc,,0
O000181,2023-01-01,Ram,,2,500,0,1000
O000182,March 5 2023,,Phone,3,,0.2,0
O000183,,Ram,Laptop,2,500,0.1,1000
O000184,2023-01-01,Ram,Laptop,,100,0,0
O000185,,,Phone,2,100,0.1,200
O000186,March 5 2023,Ram,TV,,,,0
O000187,01/02/2023,Sita,,3,abc,,0
O000188,2023-01-01,,,2,200,0,400
O000189,,John,Phone,3,abc,0.1,0
O000190,March 5 2023,Ram,TV,,200,,0
,01/02/2023,,,1,100,,100
O000192,,Ram,Shoes,,500,0.2,0
O000193,,,,3,100,,300
O000194,2023-01-01,,Laptop,2,500,0.1,1000
O000195,01/02/2023,Ram,,,,0,0
O000196,01/02/2023,,Shoes,,200,,0
O000197,01/02/2023,,,,100,0.1,0
O000198,,,,,200,0,0
O000199,March 5 2023,John,,2,abc,0.2,0
O000200,01/02/2023,Ram,Shoes,3,,0.1,0
O000201,March 5 2023,,,2,500,0.2,1000
O000202,,,,2,500,0.1,1000
O000203,2023-01-01,Ram,Laptop,,abc,0.1,0
O000204,,,Laptop,,500,0,0
O000205,,John,,1,200,0.1,200
O000206,2023-01-01,Ram,Laptop,,200,0.2,0
O000207,,Sita,,1,abc,0,0
O000208,2023-01-01,Ram,Shoes,,,0,0
O000209,2023-01-01,Sita,TV,1,500,,500
O000210,2023-01-01,,,2,100,,200
O000211,2023-01-01,,Shoes,1,,,0
O000212,01/02/2023,,Shoes,,abc,,0
O000213,March 5 2023,,,2,200,0.2,400
O000214,,Ram,Phone,,200,0,0
O000215,,Ram,,2,abc,,0
O000216,,John,TV,1,,,0
O000217,2023-01-01,,Shoes,2,500,0.1,1000
O000218,,,TV,3,abc,,0
O000219,2023-01-01,Ram,Phone,2,,,0
O000220,,John,Laptop,3,,,0
O000221,,,Laptop,2,200,0.1,400
O000222,01/02/2023,,Shoes,,,0,0
O000223,2023-01-01,Sita,Shoes,3,abc,0.1,0
O000224,01/02/2023,,Shoes,,200,0.2,0
O000225,March 5 2023,,,,500,0.1,0
O000226,01/02/2023,Ram,,3,500,0.1,1500
O000227,2023-01-01,,Phone,3,,,0
O000228,2023-01-01,Sita,TV,2,,0,0
O000229,01/02/2023,,,3,,,0
O000230,,Ram,Phone,,100,0.2,0
O000231,,,,2,,0,0
O000232,,,Phone,3,500,,1500
O000233,,John,Laptop,,500,0.2,0
O000234,01/02/2023,,,2,abc,,0
O000235,March 5 2023,,,,,,0
O000236,2023-01-01,,Shoes,,,0.1,0
O000237,01/02/2023,Ram,,3,abc,,0
O000238,,,,,100,,0
O000239,,Sita,Laptop,,,0.1,0
O000240,,,Laptop,,100,0,0
O000241,,,Shoes,,,,0
O000242,01/02/2023,Ram,TV,,abc,,0
O000243,,John,,3,100,,300
O000244,,Ram,Phone,,,,0
O000245,01/02/2023,John,Shoes,,,0,0
O000246,,John,TV,,100,0,0
O000247,,Ram,Phone,2,500,0.2,1000
O000248,March 5 2023,,,,100,0.1,0
O000249,01/02/2023,Sita,TV,3,abc,0,0
O000250,,Ram,Laptop,2,100,0,200
O000251,March 5 2023,,,,100,,0
O000252,01/02/2023,Sita,TV,1,100,,100
,,Ram,TV,2,500,0.1,1000
O000254,,,TV,1,,0.1,0
O000255,01/02/2023,Ram,Shoes,1,200,,200
O000256,2023-01-01,,Phone,3,500,0.1,1500
O000257,,Sita,,,abc,0.1,0
O000258,01/02/2023,Ram,,2,,,0
O000259,,Sita,,,100,0.1,0
O000260,2023-01-01,John,Laptop,2,,0.1,0
O000261,2023-01-01,Sita,Phone,3,500,,1500
O000262,,,TV,1,200,,200
O000263,,,Laptop,,200,0,0
O000264,01/02/2023,Sita,Laptop,,100,0,0
O000265,,,,2,abc,,0
O000266,March 5 2023,John,,,100,,0
O000267,2023-01-01,,Laptop,,,0,0
O000268,,,TV,,200,,0
O000269,01/02/2023,Ram,Laptop,,100,,0
,2023-01-01,John,,2,200,0.1,400
O000271,2023-01-01,Sita,Shoes,3,100,0.1,300
O000272,March 5 2023,,TV,3,100,0.2,300
O000273,,Ram,,,abc,,0
O000274,March 5 2023,Ram,TV,2,100,0.2,200
O000275,,,,3,,,0
O000276,01/02/2023,Ram,,,abc,0,0
O000277,,John,,,abc,,0
O000278,2023-01-01,Ram,,,500,,0
O000279,,,Phone,1,100,,100
O000280,,Sita,Phone,,100,,0
,,John,Laptop,3,100,,300
O000282,2023-01-01,,Laptop,3,100,,300
O000283,01/02/2023,Sita,Phone,2,500,0.1,1000
O000284,March 5 2023,John,,1,500,,500
O000285,,,TV,,abc,0,0
O000286,2023-01-01,Sita,Phone,,abc,0.1,0
O000287,,,Phone,1,abc,0.1,0
O000288,,,Shoes,,,0.1,0
O000289,,,,,200,,0
O000290,,Sita,,,200,0.2,0
O000291,,,,,,0.1,0
O000292,,,Shoes,3,200,0.1,600
O000293,2023-01-01,Sita,TV,,abc,0,0
O000294,01/02/2023,Ram,Phone,,abc,,0
O000295,01/02/2023,Ram,,2,,,0
O000296,2023-01-01,Sita,Laptop,1,200,0.2,200
O000297,2023-01-01,Sita,,3,,0,0
O000298,,,Phone,3,,,0
O000299,2023-01-01,,,,500,,0
O000300,,Ram,Laptop,,500,0.1,0
O000301,2023-01-01,Sita,,3,,0.2,0
O000302,March 5 2023,,,1,500,,500
O000303,,,Phone,2,200,,400
O000304,,Sita,Phone,3,abc,0.2,0
O000305,,John,Phone,,100,0.2,0
O000306,March 5 2023,,,,500,0.2,0
O000307,,John,,,200,0.2,0
O000308,,Sita,,2,abc,0,0
O000309,2023-01-01,,Phone,3,,,0
O000310,,Sita,,3,,,0
O000311,March 5 2023,John,TV,3,abc,0.2,0
O000312,01/02/2023,Ram,Shoes,2,200,0.2,400
O000313,March 5 2023,Ram,Phone,1,200,,200
O000314,March 5 2023,Sita,TV,2,200,0,400
O000315,,Sita,Phone,2,abc,0.1,0
O000316,01/02/2023,,Laptop,,abc,,0
O000317,,,Laptop,,100,0.1,0
O000318,,,TV,2,,,0
O000319,,Ram,Shoes,,,0.2,0
O000320,,,Phone,1,abc,,0
O000321,March 5 2023,Ram,,2,abc,0.2,0
O000322,01/02/2023,,,,200,0.2,0
O000323,,John,Shoes,,abc,,0
O000324,01/02/2023,John,Phone,,100,,0
O000325,2023-01-01,John,Shoes,3,100,,300
O000326,,,TV,1,abc,0.2,0
O000327,March 5 2023,,TV,3,500,0,1500
O000328,2023-01-01,John,TV,1,200,0.2,200
O000329,,Ram,,,100,0,0
O000330,01/02/2023,Sita,,3,500,,1500
O000331,,Sita,,2,abc,0,0
O000332,2023-01-01,John,Shoes,3,,0.1,0
O000333,March 5 2023,,,1,200,,200
O000334,,,Phone,2,100,,200
O000335,01/02/2023,Ram,Shoes,1,,,0
O000336,,Ram,,3,500,0.1,1500
O000337,,,Shoes,1,200,0.2,200
O000338,,,,1,,,0
O000339,,John,,,abc,0.1,0
O000340,March 5 2023,Ram,Shoes,,abc,0.2,0
O000341,,Ram,Laptop,,100,,0
O000342,March 5 2023,,Laptop,1,,0.2,0
O000343,March 5 2023,Ram,,,abc,0.2,0
O000344,March 5 2023,,,3,,0.2,0
O000345,2023-01-01,Ram,Shoes,2,200,0,400
O000346,,,Phone,2,200,0.2,400
O000347,2023-01-01,John,,,100,0.2,0
O000348,2023-01-01,Ram,Laptop,2,200,0.2,400
O000349,,,Phone,,,0.1,0
O000350,,John,TV,,,0.1,0
O000351,2023-01-01,,,1,200,0.2,200
O000352,,,,2,100,0,200
,March 5 2023,,,3,200,0,600
O000354,March 5 2023,,TV,1,100,,100
O000355,2023-01-01,John,,3,abc,,0
O000356,01/02/2023,Sita,,,100,,0
O000357,,John,,3,abc,,0
O000358,,Ram,Phone,2,abc,0,0
O000359,,John,Shoes,2,500,0.1,1000
O000360,March 5 2023,Ram,Laptop,3,abc,0,0
O000361,,,Phone,1,100,,100
,2023-01-01,Sita,Shoes,1,abc,,0
O000363,,Ram,,1,200,0.2,200
O000364,,,TV,2,abc,0.1,0
O000365,2023-01-01,,,2,500,,1000
O000366,2023-01-01,,,3,abc,,0
O000367,01/02/2023,John,Laptop,,200,0.1,0
O000368,,,TV,,100,0.1,0
O000369,2023-01-01,Ram,Shoes,1,500,0.2,500
O000370,2023-01-01,Ram,Phone,1,200,,200
O000371,2023-01-01,Sita,Shoes,,100,0.1,0
O000372,,,Laptop,1,500,0,500
O000373,2023-01-01,,Phone,2,,0.2,0
O000374,,Ram,Phone,3,200,,600
O000375,2023-01-01,Sita,,,200,0,0
O000376,2023-01-01,,Laptop,2,,0.1,0
O000377,,,Phone,1,200,,200
O000378,,,TV,,200,0,0
O000379,,Sita,TV,,100,0.2,0
O000380,,,,,abc,0,0
O000381,,,,1,abc,0,0
O000382,March 5 2023,John,,3,500,0.2,1500
O000383,2023-01-01,Sita,,,200,0.2,0
O000384,,Ram,Shoes,,200,0.2,0
O000385,,John,,3,,,0
O000386,,Sita,Laptop,1,,,0
,2023-01-01,Sita,Laptop,3,200,,600
O000388,,John,TV,,500,0.2,0
O000389,01/02/2023,,,3,200,0,600
O000390,2023-01-01,John,Phone,3,100,0,300
O000391,,John,Laptop,3,500,0,1500
O000392,01/02/2023,Ram,,1,100,0.2,100
O000393,,John,Shoes,,abc,0.2,0
,March 5 2023,Ram,Phone,,abc,0.2,0
O000395,01/02/2023,,,1,100,0.2,100
O000396,,John,Shoes,2,500,0,1000
O000397,2023-01-01,,TV,,200,0.1,0
O000398,01/02/2023,Ram,TV,,abc,,0
O000399,March 5 2023,Ram,Phone,2,abc,,0
O000400,,,Laptop,2,200,0,400
O000401,,Ram,,,500,,0
O000402,,Ram,TV,3,,0,0
O000403,,John,Shoes,1,200,,200
O000404,,,Laptop,,,,0
O000405,,,Shoes,1,,0.1,0
O000406,,Sita,TV,,,,0
O000407,,John,Laptop,,,0.1,0
O000408,,,Shoes,,,,0
O000409,March 5 2023,Ram,TV,,,,0
O000410,01/02/2023,,Laptop,2,,0.2,0
O000411,,Sita,,,abc,0,0
O000412,,,Laptop,,500,0.2,0
O000413,2023-01-01,John,TV,3,abc,,0
O000414,2023-01-01,Ram,Laptop,1,abc,0.2,0
O000415,,Ram,TV,3,,,0
O000416,,John,,2,abc,0.2,0
O000417,2023-01-01,Ram,Laptop,,abc,0,0
O000418,01/02/2023,Ram,Phone,1,200,0,200
O000419,March 5 2023,,Phone,2,,0.1,0
O000420,,Ram,Phone,,200,0.1,0
O000421,March 5 2023,Sita,TV,,200,0.2,0
O000422,March 5 2023,Sita,TV,2,abc,,0
O000423,,,,,500,0.1,0
O000424,,John,Phone,1,,0.2,0
O000425,2023-01-01,,,1,abc,0,0
O000426,,,Shoes,,,,0
O000427,,Sita,,,100,,0
O000428,2023-01-01,,Phone,,500,0,0
O000429,March 5 2023,John,,,200,0.1,0
O000430,,,Laptop,,,0,0
O000431,March 5 2023,Ram,,1,100,,100
O000432,01/02/2023,,Shoes,,abc,0.2,0
O000433,,Sita,,3,abc,0.1,0
O000434,,Ram,Laptop,2,,0.2,0
O000435,,Ram,Phone,2,abc,0.2,0
O000436,2023-01-01,Ram,,,abc,0.2,0
O000437,2023-01-01,,,,100,,0
O000438,01/02/2023,John,Phone,2,200,0.1,400
O000439,March 5 2023,,,,abc,0,0
O000440,01/02/2023,Sita,TV,2,abc,,0
O000441,2023-01-01,,TV,3,100,0.2,300
O000442,2023-01-01,,Laptop,2,,,0
O000443,,John,TV,2,100,0,200
O000444,2023-01-01,,Laptop,2,500,0,1000
O000445,,,TV,,abc,0.1,0
O000446,2023-01-01,John,Laptop,3,100,0,300
O000447,01/02/2023,,Shoes,2,,,0
O000448,01/02/2023,,Shoes,3,500,0.2,1500
O000449,March 5 2023,Ram,TV,2,200,0.2,400
O000450,01/02/2023,John,Laptop,3,500,,1500
O000451,,,Phone,3,100,0.2,300
O000452,2023-01-01,Sita,,,500,0,0
O000453,01/02/2023,John,Shoes,3,abc,,0
O000454,01/02/2023,John,Laptop,1,500,0.1,500
O000455,01/02/2023,Ram,Shoes,1,100,0,100
O000456,2023-01-01,,Phone,3,abc,0.1,0
O000457,March 5 2023,,Laptop,3,abc,0.1,0
O000458,01/02/2023,John,Laptop,,500,0.1,0
O000459,01/02/2023,Ram,,,100,0.2,0
O000460,,,,3,500,0.1,1500
O000461,March 5 2023,Sita,Laptop,1,,0.1,0
O000462,,Sita,Phone,3,500,,1500
O000463,,Ram,TV,1,,0.2,0
O000464,,,Shoes,,200,0.2,0
O000465,,,Phone,3,200,,600
O000466,,Sita,Laptop,1,100,0,100
,01/02/2023,John,TV,2,,,0
O000468,,,TV,,,0.2,0
O000469,,,TV,1,100,0,100
O000470,March 5 2023,Ram,Laptop,,100,,0
O000471,March 5 2023,,,3,,0.2,0
O000472,,,,3,100,0.2,300
O000473,2023-01-01,Ram,Laptop,2,,0,0
O000474,,,,1,100,0,100
O000475,,,Shoes,,200,0,0
O000476,,Ram,,2,500,,1000
O000477,01/02/2023,John,TV,1,abc,0.1,0
O000478,,Ram,Phone,2,,0.1,0
O000479,2023-01-01,Ram,Laptop,,100,0.2,0
O000480,01/02/2023,John,Shoes,3,500,0.1,1500
O000481,2023-01-01,,Phone,1,,0,0
O000482,,Sita,Shoes,2,200,,400
O000483,01/02/2023,Sita,,3,100,,300
O000484,March 5 2023,,,3,,0.1,0
O000485,,,Laptop,1,100,0.1,100
O000486,2023-01-01,,Laptop,,500,0.1,0
O000487,2023-01-01,,Phone,1,,,0
O000488,March 5 2023,Sita,TV,1,abc,0.2,0
O000489,,,,2,abc,0.1,0
O000490,March 5 2023,,Phone,3,abc,0.2,0
O000491,March 5 2023,Sita,,,,0.2,0
O000492,March 5 2023,Sita,Shoes,,,0,0
O000493,March 5 2023,,Laptop,2,200,0,400
O000494,March 5 2023,Sita,Phone,,,0,0
O000495,2023-01-01,Sita,Laptop,,500,,0
O000496,March 5 2023,,,2,100,,200
O000497,01/02/2023,,,,200,0,0
O000498,,Ram,TV,,,0.2,0
O000499,,,Laptop,2,500,,1000
O000500,,Ram,,3,100,,300
,,,Shoes,,abc,0,0
O000502,March 5 2023,,TV,3,,0,0
O000503,,Sita,,1,500,0.2,500
O000504,,,TV,1,abc,,0
O000505,,,Shoes,3,500,0.1,1500
O000506,01/02/2023,,TV,1,100,0.2,100
O000507,,Ram,Laptop,1,200,0.1,200
O000508,01/02/2023,Sita,Laptop,,abc,0.1,0
O000509,2023-01-01,Ram,,3,abc,,0
O000510,,John,TV,,100,0.1,0
,2023-01-01,,Phone,3,,,0
O000512,2023-01-01,,Phone,,200,0.2,0
,March 5 2023,Sita,Shoes,1,,,0
O000514,March 5 2023,,,2,200,,400
O000515,,Sita,,2,abc,,0
,2023-01-01,,Shoes,3,,0.1,0
O000517,01/02/2023,Ram,Shoes,2,abc,0.1,0
O000518,01/02/2023,,,1,,0.1,0
O000519,01/02/2023,Ram,Phone,2,abc,0.2,0
O000520,,John,TV,2,100,0.2,200
O000521,2023-01-01,Sita,Laptop,3,100,0,300
O000522,2023-01-01,,Shoes,1,abc,0.1,0
O000523,,,,2,100,0.2,200
O000524,March 5 2023,,Phone,,200,,0
O000525,,,,3,200,0.1,600
O000526,,Ram,,,500,0.1,0
,01/02/2023,,,3,abc,,0
O000528,March 5 2023,Ram,Phone,2,500,,1000
O000529,,Ram,,2,500,,1000
,,,Shoes,,200,,0
O000531,2023-01-01,Ram,Phone,,,0.1,0
O000532,,,,1,abc,,0
O000533,,Ram,TV,,200,0.2,0
O000534,,Ram,Laptop,1,abc,,0
O000535,March 5 2023,,,3,,0.2,0
O000536,01/02/2023,Sita,Phone,1,,,0
O000537,,John,Laptop,3,100,0.2,300
O000538,,,Phone,,,0.2,0
O000539,01/02/2023,John,Phone,2,200,0.1,400
O000540,March 5 2023,,TV,,500,,0
,01/02/2023,Ram,Shoes,1,500,,500
O000542,01/02/2023,,,,abc,,0
O000543,March 5 2023,Ram,Phone,3,,,0
O000544,01/02/2023,Sita,,,,,0
O000545,,,,3,abc,0,0
O000546,,Sita,,,,0.1,0
O000547,,Sita,Laptop,,500,0.2,0
O000548,2023-01-01,,TV,,abc,,0
O000549,,Ram,Shoes,,abc,0,0
O000550,,,Laptop,3,,0.2,0
O000551,01/02/2023,Sita,,1,,0,0
O000552,,Ram,Shoes,1,100,0.1,100
O000553,,,Laptop,,abc,0,0
O000554,,Sita,Laptop,2,100,,200
O000555,2023-01-01,,Phone,3,,0.1,0
O000556,,Sita,TV,1,100,,100
O000557,,Sita,Laptop,,500,0.1,0
O000558,2023-01-01,Ram,Laptop,,,0.1,0
O000559,,,Laptop,2,100,0.2,200
O000560,2023-01-01,Sita,Laptop,2,abc,0.2,0
O000561,01/02/2023,Sita,,,abc,0.2,0
O000562,,,Shoes,2,abc,,0
O000563,,Ram,,,,0.2,0
,,Sita,Phone,2,abc,0.1,0
O000565,,Sita,Phone,1,,0.2,0
,March 5 2023,,,3,200,,600
O000567,,,Laptop,2,100,0.2,200
O000568,2023-01-01,Ram,TV,2,100,,200
O000569,March 5 2023,,Phone,,200,0.1,0
O000570,,,,,500,0,0
O000571,March 5 2023,,Laptop,1,500,0,500
O000572,March 5 2023,John,,,200,0,0
O000573,,John,Shoes,3,200,0.2,600
O000574,,,,1,500,0.1,500
O000575,March 5 2023,John,Shoes,2,500,0.1,1000
O000576,,,,,500,,0
O000577,01/02/2023,,TV,1,200,0.2,200
O000578,,Sita,Phone,,100,,0
O000579,,,Shoes,1,500,0,500
O000580,01/02/2023,,Shoes,1,200,0.1,200
O000581,,Ram,,,abc,0.2,0
O000582,March 5 2023,,,,200,0.1,0
O000583,March 5 2023,,,,abc,0.1,0
O000584,March 5 2023,John,TV,2,abc,,0
O000585,,Sita,Phone,1,abc,,0
O000586,2023-01-01,,,,,,0
O000587,March 5 2023,,Phone,3,200,0.2,600
O000588,,Ram,,,abc,,0
O000589,2023-01-01,Sita,,1,200,,200
O000590,2023-01-01,,,,100,0.2,0
O000591,,,,3,abc,0.1,0
O000592,,,Laptop,2,,0.2,0
O000593,2023-01-01,Ram,,2,,0.2,0
O000594,,,Phone,1,200,0,200
O000595,2023-01-01,Sita,,2,,0,0
O000596,March 5 2023,,TV,1,500,0.1,500
O000597,01/02/2023,,Phone,3,200,0.1,600
,,,TV,,500,,0
O000599,March 5 2023,Ram,Phone,3,200,0.2,600
O000600,01/02/2023,John,,,abc,0,0
O000601,March 5 2023,Ram,Shoes,1,abc,,0
,March 5 2023,,Laptop,1,abc,,0
O000603,,,TV,1,,,0
,01/02/2023,,TV,,,,0
O000605,,Ram,,2,,0.1,0
O000606,,,TV,1,500,0,500
O000607,,,,3,,,0
O000608,01/02/2023,,Laptop,,,,0
O000609,2023-01-01,Sita,,,100,,0
O000610,,,,1,,0,0
O000611,,Sita,,2,500,0.1,1000
O000612,March 5 2023,Ram,Shoes,2,100,0.2,200
O000613,,,Laptop,1,100,,100
O000614,,,,3,abc,0,0
O000615,2023-01-01,Sita,,3,,0.1,0
O000616,March 5 2023,,Laptop,3,abc,0,0
O000617,2023-01-01,Ram,Laptop,3,,0.2,0
O000618,,Ram,Phone,,100,,0
O000619,,,Laptop,,,0.2,0
O000620,March 5 2023,,,2,100,0,200
O000621,March 5 2023,,,,abc,,0
O000622,01/02/2023,John,,,200,,0
O000623,March 5 2023,,,2,500,0.2,1000
O000624,01/02/2023,,,,100,0.2,0
O000625,2023-01-01,,Shoes,,100,0.1,0
O000626,March 5 2023,John,,1,500,,500
O000627,,John,Laptop,1,,0.2,0
O000628,,,Laptop,1,100,0.2,100
O000629,,,,3,abc,0,0
O000630,,Sita,TV,1,abc,0.2,0
O000631,,Ram,TV,1,200,,200
O000632,,,Shoes,1,500,0.2,500
